Sr. No,State,District1,District,Major Sector,Sub-sector1,Sub-Sector,Detailed Sector,Occupation/Activity,Concatenate,Sum of Activity,Outstanding credit Sep 2017,Ratio = Outstanding credit 2017/sum of activity,01-09-2017,01-12-2017,01-03-2018,01-06-2018,01-09-2018,01-12-2018,01-03-2019,01-06-2019,01-09-2019,01-12-2019,01-03-2020,01-06-2020,01-09-2020,01-12-2020,01-03-2021,01-06-2021,01-09-2021,01-12-2021,01-03-2022,01-06-2022,01-09-2022,01-12-2022,01-03-2023,01-06-2023,01-09-2023,01-12-2023,01-03-2024,01-06-2024,01-09-2024,01-12-2024,01-03-2025
4,ASSAM,68,DIMA HASAO,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,DIMA HASAO Mfr of Dairy Products,135453776,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.48,0.00,0.00,-
4,ASSAM,69,GOALPARA,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,GOALPARA Mfr of Dairy Products,135453776,3895,,0.32,0.34,0.41,0.30,0.26,0.27,0.35,0.46,0.41,0.33,0.45,0.32,0.27,0.30,0.40,0.33,0.36,0.36,0.47,0.50,0.35,0.21,0.20,0.37,0.34,0.38,0.35,1.94,0.31,0.38,0.36
4,ASSAM,70,GOLAGHAT,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,GOLAGHAT Mfr of Dairy Products,135453776,5862,,0.06,0.05,0.04,0.06,0.04,0.03,0.05,0.07,0.06,0.05,0.06,0.05,0.06,0.05,0.04,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.04,0.34,0.03,0.03,0.03
4,ASSAM,71,HAILAKANDI,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,HAILAKANDI Mfr of Dairy Products,135453776,2764,,0.73,0.69,0.78,0.64,0.48,0.26,0.21,0.24,0.27,0.88,1.37,1.15,1.36,1.37,1.64,1.42,1.39,1.27,1.40,1.32,0.99,0.98,0.80,0.72,0.49,0.49,0.46,1.66,0.40,0.44,0.42
4,ASSAM,72,HOJAI,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,HOJAI Mfr of Dairy Products,135453776,,,-,-,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.06,0.10,0.08,0.12,0.11,0.13,0.10,0.12,0.18,0.22,0.23,0.19,0.19,0.14,0.13,0.17,0.13,0.09,1.15,0.03,0.03,0.03
4,ASSAM,73,JORHAT,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,JORHAT Mfr of Dairy Products,135453776,5508,,0.04,0.03,0.02,0.02,0.01,0.02,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.03,0.09,0.09,0.10,0.09,0.25,0.01,0.01,0.01
4,ASSAM,74,KAMRUP,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,KAMRUP Mfr of Dairy Products,135453776,7379,0.0001,0.60,0.55,0.55,0.55,0.46,0.59,0.70,0.81,0.71,0.60,0.49,0.43,0.46,0.47,0.54,0.38,0.40,0.36,0.39,0.35,0.27,0.20,0.15,0.11,0.12,0.22,0.27,2.61,0.23,0.30,0.44
4,ASSAM,75,KAMRUP METROPOLITAN,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,KAMRUP METROPOLITAN Mfr of Dairy Products,135453776,161029,0.0012,0.44,0.48,0.50,0.50,0.47,0.52,0.10,0.23,0.25,0.24,0.20,0.08,0.07,0.06,0.08,0.06,0.07,0.14,0.09,0.07,0.09,0.07,0.10,0.07,0.06,0.07,0.04,0.16,0.06,0.07,0.16
4,ASSAM,76,KARBI ANGLONG,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,KARBI ANGLONG Mfr of Dairy Products,135453776,833,,0.22,0.20,0.16,0.12,0.07,0.05,0.02,0.07,0.12,0.09,0.08,0.07,0.07,0.03,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.01,3.41,0.00,0.00,0.13
4,ASSAM,77,KARIMGANJ,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,KARIMGANJ Mfr of Dairy Products,135453776,3058,,0.23,0.15,0.20,0.27,0.27,0.37,0.55,0.61,0.94,0.68,0.88,0.74,0.50,0.52,0.65,0.50,0.64,1.01,1.07,0.98,0.74,0.81,0.70,0.64,0.70,0.59,0.76,2.66,0.66,0.73,0.87
4,ASSAM,78,KOKRAJHAR,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,KOKRAJHAR Mfr of Dairy Products,135453776,255,,0.07,0.10,0.15,0.24,0.27,0.28,0.23,0.32,0.33,0.32,0.32,0.40,0.40,0.38,0.40,0.34,0.47,0.56,0.74,0.72,0.61,0.65,0.52,0.31,0.25,0.26,0.22,1.71,0.15,0.14,0.20
4,ASSAM,79,LAKHIMPUR,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,LAKHIMPUR Mfr of Dairy Products,135453776,3141,,0.24,0.22,0.28,0.27,0.27,0.29,0.28,0.35,0.37,0.36,0.35,0.36,0.30,0.31,0.25,0.17,0.18,0.15,0.18,0.17,0.16,0.16,0.14,0.20,0.19,0.19,0.16,4.52,0.14,0.17,0.12
4,ASSAM,80,MAJULI,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,MAJULI Mfr of Dairy Products,135453776,,,-,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.29,0.06,0.05,0.04
4,ASSAM,81,MORIGAON,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,MORIGAON Mfr of Dairy Products,135453776,2297,,0.24,0.20,0.36,0.69,0.66,0.59,0.43,0.41,0.30,0.20,0.18,0.13,0.11,0.14,0.18,0.16,0.18,0.25,0.32,0.33,0.27,0.30,0.27,0.23,0.23,0.21,0.18,1.65,0.12,0.14,0.09
4,ASSAM,82,NAGAON,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,NAGAON Mfr of Dairy Products,135453776,8678,0.0001,0.17,0.12,0.11,0.09,0.13,0.13,0.14,0.20,0.22,0.25,0.32,0.28,0.20,0.16,0.19,0.13,0.13,0.20,0.24,0.23,0.20,0.20,0.19,0.16,0.15,0.14,0.12,0.60,0.07,0.09,0.17
4,ASSAM,83,NALBARI,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,NALBARI Mfr of Dairy Products,135453776,5089,,0.53,0.40,0.34,0.28,0.24,0.31,0.35,0.39,0.43,0.18,0.18,0.16,0.28,0.16,0.26,0.22,0.22,0.23,0.23,0.16,0.15,0.13,0.12,0.32,0.22,0.29,0.31,1.38,0.36,0.22,0.24
4,ASSAM,84,NORTH CACHAR HILLS,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,NORTH CACHAR HILLS Mfr of Dairy Products,135453776,74,,0.10,0.03,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-,-,-,-,-,-,-,-,-,-,-,-
4,ASSAM,85,SIBSAGAR,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,SIBSAGAR Mfr of Dairy Products,135453776,7359,0.0001,0.23,0.20,0.18,0.13,0.12,0.18,0.19,0.23,0.17,0.18,0.19,0.13,0.11,0.17,0.08,0.05,0.06,0.08,0.11,0.16,0.12,0.09,0.08,0.06,0.06,0.05,0.04,0.54,0.04,0.04,0.04
4,ASSAM,86,SONITPUR,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,SONITPUR Mfr of Dairy Products,135453776,7530,0.0001,0.07,0.08,0.11,0.11,0.11,0.12,0.19,0.23,0.22,0.20,0.21,0.20,0.20,0.20,0.19,0.17,0.15,0.16,0.18,0.17,0.13,0.15,0.11,0.09,0.07,0.06,0.06,0.27,0.04,0.05,0.03
4,ASSAM,87,SOUTH SALMARA-MANKACHAR,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,SOUTH SALMARA-MANKACHAR Mfr of Dairy Products,135453776,,,-,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.14,0.18,0.07,0.29
4,ASSAM,88,TINSUKIA,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,TINSUKIA Mfr of Dairy Products,135453776,6320,,0.04,0.03,0.04,0.03,0.02,0.02,0.02,0.02,0.03,0.02,0.03,0.03,0.03,0.03,0.08,0.05,0.04,0.05,0.05,0.04,0.03,0.02,0.03,0.04,0.03,0.03,0.02,0.09,0.05,0.02,0.02
4,ASSAM,89,UDALGURI,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,UDALGURI Mfr of Dairy Products,135453776,1592,,0.47,0.43,0.28,0.13,0.12,0.13,0.04,0.04,0.07,0.06,0.15,0.14,0.16,0.22,0.25,0.21,0.24,0.26,0.32,0.29,0.24,0.11,0.12,0.09,0.07,0.08,0.06,3.93,0.02,0.02,0.02
4,ASSAM,90,WEST KARBI ANGLONG,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,WEST KARBI ANGLONG Mfr of Dairy Products,135453776,,,-,-,0.05,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.28,0.00,0.08,0.02
5,BIHAR,91,ARARIA,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,ARARIA Mfr of Dairy Products,135453776,40468,0.0003,1.29,0.79,0.54,0.29,0.21,0.15,0.16,0.13,0.14,0.14,0.14,0.14,0.13,0.20,0.20,0.15,0.16,0.17,0.35,0.43,0.38,0.37,0.29,0.23,0.24,0.20,0.17,0.20,0.19,0.21,0.23
5,BIHAR,92,ARWAL,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,ARWAL Mfr of Dairy Products,135453776,27,,0.00,0.00,0.12,0.12,0.12,0.15,0.16,0.25,0.27,0.32,0.31,0.23,0.10,0.13,0.09,0.06,0.08,0.13,0.25,0.33,0.50,0.27,0.13,0.15,0.23,0.25,0.20,0.25,0.20,0.20,0.16
5,BIHAR,93,AURANGABAD,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,AURANGABAD Mfr of Dairy Products,135453776,3669,,0.04,0.04,0.04,0.04,0.05,0.06,0.10,0.14,0.23,0.21,0.17,0.17,0.16,0.19,0.20,0.20,0.21,0.21,0.27,0.29,0.25,0.27,0.06,0.05,0.04,0.12,0.15,0.13,0.14,0.15,0.14
5,BIHAR,94,BANKA,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,BANKA Mfr of Dairy Products,135453776,4434,,0.81,0.66,0.75,1.00,0.77,0.74,0.56,0.71,0.79,0.62,0.77,0.57,0.62,0.63,0.52,0.38,0.44,0.30,1.39,1.85,1.59,1.44,0.97,0.77,0.60,0.39,0.27,0.22,0.21,0.23,0.20
5,BIHAR,95,BEGUSARAI,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,BEGUSARAI Mfr of Dairy Products,135453776,11707,0.0001,0.53,0.50,0.44,0.65,0.60,0.47,0.39,0.45,0.50,1.27,0.48,1.55,0.46,0.97,1.32,1.17,1.71,1.52,1.55,2.24,2.13,1.28,1.08,0.80,2.17,2.20,2.12,3.71,2.82,1.29,2.52
5,BIHAR,96,BHAGALPUR,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,BHAGALPUR Mfr of Dairy Products,135453776,14079,0.0001,0.52,0.40,0.46,0.48,0.41,0.35,0.34,0.39,0.40,0.35,0.39,0.39,0.37,0.36,0.37,0.36,0.39,0.51,1.25,1.45,1.25,0.91,0.66,0.66,0.62,0.47,0.43,0.39,0.34,0.35,0.47
5,BIHAR,97,BHOJPUR,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,BHOJPUR Mfr of Dairy Products,135453776,20701,0.0002,0.61,0.01,0.53,0.50,0.55,0.59,0.63,0.24,0.34,0.40,0.47,0.37,0.47,0.58,2.96,3.02,4.86,4.79,3.34,5.61,5.47,5.16,4.34,3.09,4.46,4.93,2.87,3.84,3.13,3.67,3.07
5,BIHAR,98,BUXAR,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,BUXAR Mfr of Dairy Products,135453776,13612,0.0001,0.25,0.11,0.12,0.13,0.12,0.09,0.06,0.07,0.08,0.06,0.06,0.06,0.12,0.15,0.18,0.18,0.27,0.25,0.32,0.38,0.29,0.22,0.22,0.16,0.15,0.18,0.18,0.18,0.18,0.17,0.18
5,BIHAR,99,DARBHANGA,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,DARBHANGA Mfr of Dairy Products,135453776,37218,0.0003,0.90,0.77,0.75,0.68,0.69,0.63,0.41,0.40,0.46,0.33,0.31,0.28,0.21,0.19,0.21,0.18,0.22,0.19,0.21,0.23,0.24,0.21,0.19,0.22,0.23,0.20,0.31,0.33,0.36,0.41,0.37
5,BIHAR,100,GAYA,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,GAYA Mfr of Dairy Products,135453776,11225,0.0001,0.21,0.13,0.35,0.38,0.44,0.80,0.84,0.77,0.75,0.75,0.70,0.62,0.24,0.22,0.35,0.14,0.13,0.34,0.17,0.41,0.47,0.50,0.51,0.37,0.60,0.51,0.34,0.32,0.26,0.28,0.24
5,BIHAR,101,GOPALGANJ,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,GOPALGANJ Mfr of Dairy Products,135453776,1583,,0.06,0.04,0.10,0.12,0.07,0.07,0.07,0.12,0.10,0.07,0.09,0.10,0.16,0.23,0.38,0.42,0.98,0.78,1.37,1.57,1.78,1.66,1.30,1.33,1.36,1.38,0.88,0.90,0.90,0.78,0.73
5,BIHAR,102,JAMUI,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,JAMUI Mfr of Dairy Products,135453776,3464,,0.72,0.54,0.41,0.45,0.39,0.17,0.12,0.08,0.13,0.14,0.17,0.14,0.16,0.24,0.34,0.27,0.22,0.25,0.33,0.36,0.32,0.29,0.19,0.16,0.19,0.17,0.12,0.11,0.12,0.13,0.12
5,BIHAR,103,JEHANABAD,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,JEHANABAD Mfr of Dairy Products,135453776,4371,,0.56,0.56,0.63,0.79,0.87,0.57,0.49,0.44,0.48,0.45,0.45,0.39,0.30,0.26,0.19,0.15,0.16,0.17,0.17,0.19,0.18,0.16,0.12,0.15,0.09,0.09,0.07,0.09,0.11,0.12,0.16
5,BIHAR,104,KAIMUR,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,KAIMUR Mfr of Dairy Products,135453776,51748,0.0004,0.44,0.16,0.22,0.21,0.21,0.22,0.19,0.26,0.27,0.22,0.23,0.19,0.05,0.04,0.04,0.02,0.02,0.05,0.06,0.08,0.08,0.09,0.09,0.08,0.08,0.07,0.06,0.06,0.06,0.05,0.07
5,BIHAR,105,KATIHAR,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,KATIHAR Mfr of Dairy Products,135453776,7391,0.0001,0.32,0.47,0.41,0.34,0.34,0.62,0.52,0.45,0.40,0.44,0.73,0.55,0.61,0.62,1.02,0.76,0.88,0.62,1.01,1.05,1.15,0.62,0.48,0.69,0.40,0.40,0.31,0.27,0.21,0.22,0.28
5,BIHAR,106,KHAGARIA,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,KHAGARIA Mfr of Dairy Products,135453776,13155,0.0001,1.86,1.42,1.28,1.33,1.40,1.90,1.95,1.96,1.25,1.12,1.15,1.01,1.04,1.09,1.17,0.96,1.18,0.80,1.13,1.36,1.54,1.35,1.41,1.12,1.17,1.38,1.18,1.07,1.01,1.04,1.05
5,BIHAR,107,KISHANGANJ,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,KISHANGANJ Mfr of Dairy Products,135453776,5474,,0.75,0.57,0.85,1.07,0.93,1.11,0.77,0.77,0.75,0.71,0.57,0.46,0.57,0.83,0.78,0.61,0.66,0.74,0.99,1.04,0.72,0.55,0.53,0.56,0.43,0.36,0.34,0.38,0.34,0.38,0.40
5,BIHAR,108,LAKHISARAI,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,LAKHISARAI Mfr of Dairy Products,135453776,18405,0.0001,2.54,1.84,1.75,1.71,1.54,1.64,1.49,1.60,1.64,1.35,1.44,1.17,0.51,0.50,0.43,0.35,0.35,0.29,0.32,0.63,0.75,0.78,0.81,0.81,0.82,0.75,0.75,0.71,0.60,0.61,0.60
5,BIHAR,109,MADHEPURA,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,MADHEPURA Mfr of Dairy Products,135453776,1628,,0.29,0.19,0.48,0.47,0.41,0.25,0.60,1.00,1.10,1.21,1.47,1.32,1.41,1.49,1.65,1.47,1.41,1.19,1.40,1.68,1.77,1.17,1.19,1.05,0.91,0.70,0.61,0.63,0.56,0.58,0.53
5,BIHAR,110,MADHUBANI,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,MADHUBANI Mfr of Dairy Products,135453776,3298,,0.21,0.19,0.23,0.19,0.20,0.32,0.51,0.60,0.62,0.69,0.70,0.61,0.53,0.58,0.55,0.51,0.54,0.48,0.64,0.76,0.53,0.33,0.24,0.27,0.23,0.19,0.23,0.20,0.18,0.25,0.29
5,BIHAR,111,MUNGER,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,MUNGER Mfr of Dairy Products,135453776,16686,0.0001,2.08,1.47,1.23,0.95,1.08,1.21,1.08,0.81,0.77,0.60,0.62,0.57,0.72,0.74,0.67,0.52,0.53,0.61,1.07,1.26,1.00,0.92,0.88,0.79,0.59,0.49,0.42,0.34,0.30,0.33,0.27
5,BIHAR,112,MUZAFFARPUR,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,MUZAFFARPUR Mfr of Dairy Products,135453776,141828,0.001,1.11,1.16,1.80,1.54,1.71,2.47,2.67,1.89,2.29,1.74,1.44,1.55,1.37,1.19,1.20,0.12,1.41,0.96,1.31,1.27,1.10,0.89,0.76,0.96,1.37,1.74,1.74,2.32,1.95,1.88,2.39
5,BIHAR,113,NALANDA,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,NALANDA Mfr of Dairy Products,135453776,11726,0.0001,0.35,0.26,0.30,0.25,0.23,0.24,0.23,0.29,0.26,0.20,0.25,0.17,0.07,0.08,0.08,0.06,0.07,0.09,0.17,0.17,0.13,0.19,0.24,0.24,0.29,0.31,0.33,0.33,0.32,0.34,0.41
5,BIHAR,114,NAWADA,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,NAWADA Mfr of Dairy Products,135453776,4081,,0.19,0.11,0.31,0.28,0.38,0.36,0.36,0.43,0.43,0.36,0.36,0.32,0.20,0.15,0.17,0.13,0.17,0.17,0.36,0.38,0.45,0.68,0.73,0.67,0.72,0.66,0.60,0.58,0.51,0.87,0.89
5,BIHAR,115,PASCHIMI CHAMPARAN,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,PASCHIMI CHAMPARAN Mfr of Dairy Products,135453776,14939,0.0001,0.17,0.06,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.04,0.03,0.04,0.07,0.11,0.07,0.10,0.08,0.08,0.07,0.06,0.07,0.09,0.08,0.08
5,BIHAR,116,PATNA,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,PATNA Mfr of Dairy Products,135453776,217985,0.0016,0.25,0.17,0.15,0.11,0.06,0.12,0.18,0.33,0.30,0.20,0.21,0.18,0.88,0.71,0.33,0.40,0.60,0.62,0.51,0.58,0.73,0.78,0.84,0.32,0.41,0.77,0.51,0.59,0.54,0.56,0.52
5,BIHAR,117,PURBI CHAMPARAN,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,PURBI CHAMPARAN Mfr of Dairy Products,135453776,28314,0.0002,0.24,0.08,0.06,0.05,0.04,0.04,0.06,0.08,0.08,0.08,0.09,0.08,0.08,0.09,0.08,0.06,0.06,0.07,0.08,0.08,0.07,0.06,0.06,0.06,0.07,0.06,0.05,0.05,0.06,0.05,0.07
5,BIHAR,118,PURNIA,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,PURNIA Mfr of Dairy Products,135453776,5825,,0.17,0.16,0.16,0.15,0.14,0.17,0.18,0.18,0.19,0.18,0.19,0.16,0.18,0.20,0.23,0.20,0.22,0.25,0.48,0.51,0.48,0.35,0.34,0.34,0.29,0.21,0.19,0.18,0.14,0.13,0.13
5,BIHAR,119,ROHTAS,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,ROHTAS Mfr of Dairy Products,135453776,20516,0.0002,0.12,0.10,0.13,0.15,0.16,0.14,0.14,0.17,0.16,0.12,0.13,0.11,0.08,0.12,0.09,0.07,0.08,0.14,0.09,0.09,0.09,0.11,0.12,0.12,0.12,0.12,0.12,0.12,0.13,0.13,0.12
5,BIHAR,120,SAHARSA,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,SAHARSA Mfr of Dairy Products,135453776,2012,,0.15,0.15,0.17,0.14,0.27,0.29,0.24,0.25,0.26,0.23,0.21,0.16,0.20,0.23,0.40,0.35,0.47,0.56,0.62,0.62,0.53,0.23,0.21,0.52,0.23,0.23,0.19,0.19,0.18,0.21,0.22
5,BIHAR,121,SAMASTIPUR,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,SAMASTIPUR Mfr of Dairy Products,135453776,7556,0.0001,0.15,0.14,0.16,0.19,3.30,3.11,3.47,3.54,3.32,3.21,2.98,3.13,3.30,3.41,2.62,4.44,4.30,4.15,3.43,3.55,3.68,4.10,2.46,2.56,2.95,2.67,1.94,1.00,0.41,1.22,1.16
5,BIHAR,122,SARAN,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,SARAN Mfr of Dairy Products,135453776,19024,0.0001,1.15,0.80,1.19,1.26,0.95,0.94,0.73,0.65,0.67,0.70,0.77,0.71,0.69,0.85,0.76,0.71,0.90,0.72,1.09,1.40,1.72,1.09,1.23,1.37,1.15,0.94,0.70,0.73,0.62,0.61,0.56
5,BIHAR,123,SHEIKHPURA,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,SHEIKHPURA Mfr of Dairy Products,135453776,333,,0.09,0.02,0.02,0.02,0.02,0.04,0.35,0.45,0.44,0.32,0.26,0.25,0.21,0.19,0.20,0.11,0.12,0.07,0.20,0.31,0.23,0.18,0.13,0.19,0.22,0.25,0.20,0.22,0.17,0.13,2.28
5,BIHAR,124,SHEOHAR,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,SHEOHAR Mfr of Dairy Products,135453776,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.09,0.21,0.17,0.09,0.06,0.21,0.15,0.18,0.54,0.64,0.77,0.55,0.48,0.56,0.56,0.46,0.41,0.34,0.28,0.26
5,BIHAR,125,SITAMARHI,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,SITAMARHI Mfr of Dairy Products,135453776,15676,0.0001,1.00,0.56,0.44,0.51,0.48,0.49,0.51,0.66,0.42,0.50,0.56,0.65,0.69,0.56,0.58,0.56,0.62,0.49,0.68,0.72,0.76,0.50,0.53,0.63,0.47,0.44,0.50,0.56,0.41,0.49,0.44
5,BIHAR,126,SIWAN,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,SIWAN Mfr of Dairy Products,135453776,34006,0.0003,1.54,0.75,0.33,0.16,0.23,0.20,0.19,0.24,0.35,0.37,0.53,0.50,0.58,0.45,0.77,0.62,0.63,0.60,0.76,0.83,1.96,1.45,1.37,1.42,1.29,1.08,0.82,0.73,0.62,0.64,0.60
5,BIHAR,127,SUPAUL,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,SUPAUL Mfr of Dairy Products,135453776,2313,,0.53,0.51,0.47,0.38,0.38,0.45,0.59,0.67,0.52,3.19,0.31,0.33,0.41,0.45,0.47,0.62,0.62,0.54,4.06,5.53,5.15,4.38,3.62,3.08,3.32,2.87,0.92,0.61,0.48,0.50,0.48
5,BIHAR,128,VAISHALI,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,VAISHALI Mfr of Dairy Products,135453776,71726,0.0005,1.83,1.41,1.29,1.33,1.10,1.13,1.09,1.54,1.45,1.42,1.50,1.34,1.43,1.24,0.80,0.74,0.81,0.78,1.44,1.47,1.33,1.40,1.49,1.41,1.22,1.09,0.86,0.77,0.65,0.72,0.69
6,CHANDIGARH,129,CHANDIGARH,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,CHANDIGARH Mfr of Dairy Products,135453776,584063,0.0043,0.21,0.11,0.18,0.14,0.18,0.08,0.17,0.66,0.21,0.26,0.85,1.56,0.96,0.98,1.17,1.04,1.28,1.15,1.35,1.27,1.38,1.20,1.14,1.85,1.01,0.85,1.64,1.50,0.71,0.57,0.85
7,CHHATTISGARH,130,BALOD,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,BALOD Mfr of Dairy Products,135453776,1340,,0.03,0.03,0.03,0.01,0.02,0.02,0.03,0.04,0.04,0.06,0.07,0.07,0.06,0.06,0.07,0.06,0.06,0.05,0.05,0.05,0.02,0.02,0.01,0.01,0.02,0.02,0.03,0.03,0.04,0.03,0.02
